County Name,Observation Count,Arithmetic Mean,Arithmetic Standard Dev
Imperial,8311,9.492961,10.235508
Imperial,60,0.023,0.014057
Imperial,60,0.0013,0.000908
Imperial,60,0.262833,0.186603
Imperial,60,0.007817,0.005884
Imperial,60,0.010333,0.014221
Imperial,60,0.184283,0.103115
Imperial,60,0.002217,0.000993
Imperial,60,0.002,0.0
Imperial,60,0.013233,0.008813
Imperial,60,0.20165,0.429896
Imperial,60,0.183817,0.121259
Imperial,60,0.00755,0.0101
Imperial,60,0.00465,0.003804
Imperial,60,0.003,0.0
Imperial,60,0.002,0.0
Imperial,60,0.002,0.0
Imperial,60,0.0168,0.008388
Imperial,60,0.002683,0.005794
Imperial,60,0.022017,0.008288
Imperial,60,0.014967,0.010503
Imperial,60,0.002,0.0
Imperial,60,0.4635,0.432685
Imperial,60,0.0409,0.066339
Imperial,60,0.002233,0.00081
Imperial,60,0.355017,0.204375
Imperial,60,0.001017,0.000129
Imperial,60,0.194733,0.186273
Imperial,60,0.002,0.0
Imperial,60,0.438,0.517732
Imperial,60,0.114,0.133711
Imperial,60,0.860167,1.165394
Imperial,60,2.881667,1.680848
Imperial,60,0.757,1.281496
Imperial,60,2.868833,2.176269
Imperial,60,0.200667,0.253182
Imperial,60,0.642667,0.514883
Imperial,60,0.916667,0.546975
Imperial,60,0.539,0.231595
Imperial,60,0.561667,0.784133
Imperial,60,0.763167,0.802533
Imperial,60,1.223167,1.428754
Imperial,60,0.076667,0.038164
Imperial,60,0.05,0.0
Imperial,60,0.572167,0.283041
Imperial,35,0.083143,0.142865
Imperial,34,0.015,0.013981
Imperial,35,0.010286,0.00169
Imperial,60,0.8555,0.530176
Imperial,60,9.653333,6.509874
Imperial,8594,8.691285,12.422491
Imperial,6210,8.072351,8.110736
Inyo,8470,3.656919,3.129047
Inyo,8470,3.656919,3.129047
Inyo,4127,3.525273,2.416304
Inyo,4343,3.149735,3.382438
Inyo,119,8e-06,9.2e-05
Inyo,119,0.098454,0.101773
Inyo,119,0.001143,0.000857
Inyo,119,0.071966,0.069565
Inyo,119,0.0,0.0
Inyo,119,0.000336,0.000876
Inyo,119,0.001941,0.005632
Inyo,119,0.063462,0.065497
Inyo,119,0.000235,0.000445
Inyo,119,0.00163,0.001741
Inyo,119,0.0,0.0
Inyo,119,0.034571,0.034422
Inyo,119,0.000429,0.000732
Inyo,119,1.7e-05,0.000129
Inyo,119,0.005563,0.005709
Inyo,119,1.7e-05,0.000129
Inyo,119,0.268303,0.278007
Inyo,119,0.001227,0.001417
Inyo,119,0.000689,0.000909
Inyo,119,0.14884,0.103669
Inyo,119,5e-05,0.000255
Inyo,119,0.048,0.0443
Inyo,119,0.038773,0.036942
Inyo,119,0.000277,0.000758
Inyo,115,0.011237,0.016281
Inyo,115,0.108948,0.079917
Inyo,120,0.651583,0.422297
Inyo,120,0.083,0.059262
Inyo,120,0.010808,0.026138
Inyo,120,0.1093,0.085102
Inyo,120,0.2487,0.171677
Inyo,120,0.143275,0.094335
Inyo,120,0.1399,0.083859
Inyo,120,0.169192,0.107771
Inyo,120,0.054008,0.026942
Inyo,120,0.0,0.0
Inyo,115,0.003616,0.00902
Inyo,119,0.613918,0.427565
Inyo,115,0.140552,0.103122
Inyo,119,1.166239,1.192853
Inyo,120,1.173582,0.761585
Inyo,115,0.397078,0.28371
Inyo,119,3.343697,2.110412
Inyo,8537,6.396908,15.346532
Inyo,6518,4.623136,3.53017
Inyo,6518,4.623136,3.53017
Inyo,6518,3.863747,3.234303
Inyo,6518,3.863747,3.234303
Inyo,8644,9.724977,12.099179
Inyo,8644,9.724977,12.099179
Inyo,8644,8.594366,11.753126
Inyo,8644,8.594366,11.753126
Inyo,4795,3.811366,2.320565
Inyo,4795,3.811366,2.320565
Inyo,4795,3.077602,1.956664
Inyo,4795,3.077602,1.956664
Kern,8562,13.617963,10.820672
Kern,108,0.000528,0.009841
Kern,57,1.8e-05,0.009376
Kern,108,0.0,0.0
Kern,57,0.0,0.0
Kern,108,0.102759,0.082596
Kern,57,0.096263,0.066056
Kern,108,0.009111,0.020322
Kern,57,0.016772,0.022079
Kern,108,0.001426,0.002158
Kern,57,0.001368,0.001838
Kern,108,0.001907,0.0079
Kern,57,0.001175,0.006825
Kern,108,0.084306,0.058563
Kern,57,0.079509,0.049375
Kern,105,0.001257,0.002668
Kern,57,0.001632,0.003266
Kern,105,0.0,0.000971
Kern,57,0.0,0.000908
Kern,105,0.0042,0.006244
Kern,57,0.003316,0.004968
Kern,108,0.01487,0.023919
Kern,57,0.007474,0.008337
Kern,108,0.0,0.019096
Kern,57,0.0,0.022288
Kern,108,0.0,0.01361
Kern,57,0.00107,0.012441
Kern,105,0.1422,0.092878
Kern,57,0.133228,0.075376
Kern,108,0.001935,0.004667
Kern,57,0.001667,0.004607
Kern,108,0.000713,0.009179
Kern,57,0.00114,0.00721
Kern,108,0.002769,0.003089
Kern,57,0.002246,0.002843
Kern,105,0.000752,0.001167
Kern,57,0.001,0.00135
Kern,108,0.032796,0.039129
Kern,57,0.033474,0.0333
Kern,108,0.00225,0.003157
Kern,57,0.002088,0.003258
Kern,108,0.000398,0.001734
Kern,57,0.000193,0.00162
Kern,108,0.001463,0.009345
Kern,57,0.001053,0.009328
Kern,108,0.009889,0.007681
Kern,57,0.008667,0.005677
Kern,108,7.4e-05,0.000263
Kern,57,8.8e-05,0.000342
Kern,108,0.267472,0.21026
Kern,57,0.253421,0.174212
Kern,108,0.00037,0.006236
Kern,57,0.001175,0.006222
Kern,108,0.010463,0.006744
Kern,57,0.009789,0.006422
Kern,108,0.000944,0.001985
Kern,57,0.000947,0.001797
Kern,108,0.350204,0.182469
Kern,57,0.342667,0.179307
Kern,108,0.0,0.001798
Kern,57,0.000105,0.00178
Kern,108,0.094065,0.059629
Kern,57,0.082842,0.045969
Kern,108,0.109741,0.126016
Kern,57,0.082509,0.10596
Kern,108,0.002389,0.008527
Kern,57,0.002351,0.007345
Kern,108,0.166401,0.156046
Kern,57,0.15173,0.145501
