County Name,Observation Count,PM2.5 Mean,Arithmetic Standard Dev,Race Group,Percent Low Birthweight,PM2.5 Category
El Dorado,118,0.086424,0.052031,Non-White,5.2423076923076914,Healthy
El Dorado,118,0.086424,0.052031,White,5.645,Healthy
El Dorado,118,0.0,0.0,Non-White,5.2423076923076914,Healthy
El Dorado,118,0.0,0.0,White,5.645,Healthy
El Dorado,118,0.005095,0.01839,Non-White,5.2423076923076914,Healthy
El Dorado,118,0.005095,0.01839,White,5.645,Healthy
El Dorado,118,0.547471,0.417517,Non-White,5.2423076923076914,Healthy
El Dorado,118,0.547471,0.417517,White,5.645,Healthy
El Dorado,118,0.221244,0.206536,Non-White,5.2423076923076914,Healthy
El Dorado,118,0.221244,0.206536,White,5.645,Healthy
El Dorado,118,0.576554,0.523006,Non-White,5.2423076923076914,Healthy
El Dorado,118,0.576554,0.523006,White,5.645,Healthy
El Dorado,118,2.609165,2.068305,Non-White,5.2423076923076914,Healthy
El Dorado,118,2.609165,2.068305,White,5.645,Healthy
El Dorado,118,0.355093,0.27943,Non-White,5.2423076923076914,Healthy
El Dorado,118,0.355093,0.27943,White,5.645,Healthy
El Dorado,118,4.116949,2.560693,Non-White,5.2423076923076914,Healthy
El Dorado,118,4.116949,2.560693,White,5.645,Healthy
El Dorado,103,0.0,0.0,Non-White,5.2423076923076914,Healthy
El Dorado,103,0.0,0.0,White,5.645,Healthy
El Dorado,103,0.036835,0.040874,Non-White,5.2423076923076914,Healthy
El Dorado,103,0.036835,0.040874,White,5.645,Healthy
El Dorado,103,0.001029,0.000692,Non-White,5.2423076923076914,Healthy
El Dorado,103,0.001029,0.000692,White,5.645,Healthy
El Dorado,103,0.019621,0.024023,Non-White,5.2423076923076914,Healthy
El Dorado,103,0.019621,0.024023,White,5.645,Healthy
El Dorado,103,0.0,0.0,Non-White,5.2423076923076914,Healthy
El Dorado,103,0.0,0.0,White,5.645,Healthy
El Dorado,103,0.000155,0.000538,Non-White,5.2423076923076914,Healthy
El Dorado,103,0.000155,0.000538,White,5.645,Healthy
El Dorado,103,0.003359,0.023061,Non-White,5.2423076923076914,Healthy
El Dorado,103,0.003359,0.023061,White,5.645,Healthy
El Dorado,103,0.023835,0.024768,Non-White,5.2423076923076914,Healthy
El Dorado,103,0.023835,0.024768,White,5.645,Healthy
El Dorado,103,0.000214,0.000435,Non-White,5.2423076923076914,Healthy
El Dorado,103,0.000214,0.000435,White,5.645,Healthy
El Dorado,103,0.000544,0.000668,Non-White,5.2423076923076914,Healthy
El Dorado,103,0.000544,0.000668,White,5.645,Healthy
El Dorado,103,0.0,0.0,Non-White,5.2423076923076914,Healthy
El Dorado,103,0.0,0.0,White,5.645,Healthy
El Dorado,103,0.010592,0.015156,Non-White,5.2423076923076914,Healthy
El Dorado,103,0.010592,0.015156,White,5.645,Healthy
El Dorado,103,0.00034,0.000516,Non-White,5.2423076923076914,Healthy
El Dorado,103,0.00034,0.000516,White,5.645,Healthy
El Dorado,103,0.0,0.0,Non-White,5.2423076923076914,Healthy
